N,time_numpy,time_cupy
5680001,0.0816504955291748,0.0004317760467529297
5690001,0.08245682716369629,0.00043582916259765625
5700001,0.08139967918395996,0.0004391670227050781
5710001,0.08145451545715332,0.0004286766052246094
5720001,0.13996529579162598,0.0004401206970214844
5730001,0.08223080635070801,0.0004420280456542969
5740001,0.08209824562072754,0.00043272972106933594
5750001,0.08305048942565918,0.0004322528839111328
5760001,0.08360958099365234,0.00044083595275878906
5770001,0.08220458030700684,0.0004239082336425781
5780001,0.08167052268981934,0.0004627704620361328
5790001,0.08288335800170898,0.0004391670227050781
5800001,0.08324003219604492,0.00043392181396484375
5810001,0.08305096626281738,0.0004286766052246094
5820001,0.08189249038696289,0.00047278404235839844
5830001,0.09361815452575684,0.0004291534423828125
5840001,0.09641313552856445,0.00042724609375
5850001,0.09703183174133301,0.0004394054412841797
5860001,0.09638690948486328,0.00042176246643066406
5870001,0.14158296585083008,0.00045013427734375
5880001,0.0839838981628418,0.0004367828369140625
5890001,0.08435964584350586,0.00043272972106933594
5900001,0.0841073989868164,0.00047397613525390625
5910001,0.08583950996398926,0.00043511390686035156
5920001,0.08428454399108887,0.00042057037353515625
5930001,0.09829998016357422,0.0006699562072753906
5940001,0.08645844459533691,0.00044798851013183594
5950001,0.08697009086608887,0.0004382133483886719
5960001,0.08414769172668457,0.0004429817199707031
5970001,0.08643198013305664,0.0004379749298095703
