N,CPU,GPU
3670001,0.05156517028808594,0.0009548664093017578
3680001,0.05238819122314453,0.0007874965667724609
3690001,0.05191302299499512,0.0007832050323486328
3700001,0.08175921440124512,0.001340627670288086
3710001,0.056510210037231445,0.0008718967437744141
3720001,0.05375075340270996,0.0008108615875244141
3730001,0.052921295166015625,0.0007984638214111328
3740001,0.05238747596740723,0.0007822513580322266
3750001,0.05305171012878418,0.0008139610290527344
3760001,0.05277132987976074,0.0007886886596679688
3770001,0.05260038375854492,0.0007967948913574219
3780001,0.05279660224914551,0.0007674694061279297
3790001,0.05309104919433594,0.0007841587066650391
3800001,0.05266118049621582,0.0007939338684082031
3810001,0.05320882797241211,0.0008072853088378906
3820001,0.05286145210266113,0.000789642333984375
3830001,0.05410051345825195,0.0007932186126708984
3840001,0.053243398666381836,0.0008051395416259766
3850001,0.05366253852844238,0.0008003711700439453
3860001,0.05390119552612305,0.0008101463317871094
3870001,0.054108381271362305,0.0012278556823730469
3880001,0.09220242500305176,0.0009198188781738281
3890001,0.0550692081451416,0.0008304119110107422
3900001,0.05512428283691406,0.0007960796356201172
3910001,0.055039405822753906,0.0008015632629394531
3920001,0.05402255058288574,0.0008156299591064453
3930001,0.054619550704956055,0.0008106231689453125
